Time,Value
0.00410432,0.45067
0.00412699,0.436956
0.00414967,0.423135
0.00417235,0.40921
0.00419502,0.395184
0.0042177,0.381059
0.00424037,0.366839
0.00426305,0.352528
0.00428572,0.338128
0.0043084,0.323643
0.00433108,0.309077
0.00435375,0.294432
0.00437643,0.279712
0.0043991,0.26492
0.00442178,0.25006
0.00444446,0.235135
0.00446713,0.220149
0.00448981,0.205105
0.00451248,0.190007
0.00453516,0.174858
0.00455783,0.159661
0.00458051,0.144421
0.00460319,0.129141
0.00462586,0.113824
0.00464854,0.0984748
0.00467121,0.083096
0.00469389,0.0676916
0.00471657,0.0522652
0.00473924,0.0368206
0.00476192,0.0213613
0.00478459,0.00589107
0.00480727,-0.00958614
0.00482994,-0.0250671
0.00485262,-0.0405478
0.0048753,-0.0560247
0.00489797,-0.0714939
0.00492065,-0.0869517
0.00494332,-0.102394
0.004966,-0.117818
0.00498868,-0.133219
0.00501135,-0.148594
0.00503403,-0.163939
0.0050567,-0.17925
0.00507938,-0.194523
0.00510205,-0.209755
0.00512473,-0.224942
0.00514741,-0.24008
0.00517008,-0.255166
0.00519276,-0.270195
0.00521543,-0.285164
0.00523811,-0.30007
0.00526079,-0.314908
0.00528346,-0.329675
0.00530614,-0.344367
0.00532881,-0.358981
0.00535149,-0.373513
0.00537416,-0.387959
0.00539684,-0.402316
0.00541952,-0.41658
0.00544219,-0.430747
0.00546487,-0.444814
0.00548754,-0.458777
0.00551022,-0.472633
0.0055329,-0.486379
0.00555557,-0.50001
0.00557825,-0.513523
0.00560092,-0.526915
0.0056236,-0.540182
0.00564627,-0.553321
0.00566895,-0.566329
0.00569163,-0.579202
0.0057143,-0.591936
0.00573698,-0.60453
0.00575965,-0.616978
0.00578233,-0.629279
0.00580501,-0.641428
0.00582768,-0.653423
0.00585036,-0.66526
0.00587303,-0.676937
0.00589571,-0.68845
0.00591838,-0.699797
0.00594106,-0.710973
0.00596374,-0.721977
0.00598641,-0.732805
0.00600909,-0.743455
0.00603176,-0.753923
0.00605444,-0.764207
0.00607712,-0.774303
0.00609979,-0.784211
0.00612247,-0.793925
0.00614514,-0.803445
0.00616782,-0.812766
0.0061905,-0.821888
0.00621317,-0.830807
0.00623585,-0.83952
0.00625852,-0.848026
0.0062812,-0.856322
0.00630387,-0.864405
0.00632655,-0.872274
0.00634923,-0.879926
0.0063719,-0.887359
0.00639458,-0.894571
0.00641725,-0.901559
0.00643993,-0.908323
0.00646261,-0.914859
0.00648528,-0.921166
0.00650796,-0.927243
0.00653063,-0.933086
0.00655331,-0.938695
0.00657598,-0.944068
0.00659866,-0.949203
0.00662134,-0.954099
0.00664401,-0.958754
0.00666669,-0.963167
0.00668936,-0.967335
0.00671204,-0.971259
0.00673472,-0.974937
0.00675739,-0.978367
0.00678007,-0.981549
0.00680274,-0.984481
0.00682542,-0.987162
0.00684809,-0.989591
0.00687077,-0.991767
0.00689345,-0.993691
0.00691612,-0.99536
0.0069388,-0.996774
0.00696147,-0.997932
0.00698415,-0.998835
0.00700683,-0.99948
0.0070295,-0.999869
0.00705218,-1
0.00707485,-0.999873
0.00709753,-0.999489
0.0071202,-0.998846
0.00714288,-0.997944
0.00716556,-0.996785
0.00718823,-0.995367
0.00721091,-0.99369
0.00723358,-0.991756
0.00725626,-0.989564
0.00727894,-0.987114
0.00730161,-0.984406
0.00732429,-0.981442
0.00734696,-0.978222
0.00736964,-0.974746
0.00739231,-0.971014
0.00741499,-0.967029
0.00743767,-0.962789
0.00746034,-0.958297
0.00748302,-0.953553
0.00750569,-0.948558
0.00752837,-0.943313
0.00755105,-0.937819
0.00757372,-0.932077
0.0075964,-0.926089
0.00761907,-0.919856
0.00764175,-0.913379
0.00766442,-0.90666
0.0076871,-0.899701
0.00770978,-0.892501
0.00773245,-0.885065
0.00775513,-0.877392
0.0077778,-0.869486
0.00780048,-0.861347
0.00782316,-0.852978
0.00784583,-0.84438
0.00786851,-0.835556
0.00789118,-0.826508
0.00791386,-0.817238
0.00793653,-0.807748
0.00795921,-0.79804
0.00798189,-0.788117
0.00800456,-0.777981
0.00802724,-0.767635
0.00804991,-0.757081
0.00807259,-0.746322
0.00809527,-0.73536
0.00811794,-0.724198
0.00814062,-0.71284
0.00816329,-0.701286
0.00818597,-0.689542
0.00820864,-0.677609
0.00823132,-0.66549
0.008254,-0.65319
0.00827667,-0.640709
0.00829935,-0.628053
0.00832202,-0.615224
0.0083447,-0.602225
0.00836738,-0.589059
0.00839005,-0.575731
0.00841273,-0.562243
0.0084354,-0.548599
0.00845808,-0.534802
0.00848075,-0.520857
0.00850343,-0.506765
0.00852611,-0.492532
0.00854878,-0.478161
0.00857146,-0.463656
0.00859413,-0.44902
0.00861681,-0.434257
0.00863949,-0.419372
0.00866216,-0.404367
0.00868484,-0.389248
0.00870751,-0.374017
0.00873019,-0.35868
0.00875286,-0.34324
0.00877554,-0.3277
0.00879822,-0.312067
0.00882089,-0.296342
0.00884357,-0.280531
0.00886624,-0.264639
0.00888892,-0.248668
0.0089116,-0.232624
0.00893427,-0.21651
0.00895695,-0.200332
0.00897962,-0.184093
0.0090023,-0.167798
0.00902497,-0.151452
0.00904765,-0.135058
0.00907033,-0.118621
0.009093,-0.102145
0.00911568,-0.0856363
0.00913835,-0.0690978
0.00916103,-0.0525346
0.00918371,-0.035951
0.00920638,-0.0193517
0.00922906,-0.00274132
0.00925173,0.0138757
0.00927441,0.0304946
0.00929708,0.047111
0.00931976,0.0637201
0.00934244,0.0803174
0.00936511,0.0968983
0.00938779,0.113458
0.00941046,0.129992
0.00943314,0.146495
0.00945582,0.162964
0.00947849,0.179394
0.00950117,0.195779
0.00952384,0.212115
0.00954652,0.228398
0.0095692,0.244623
0.00959187,0.260785
0.00961455,0.27688
0.00963722,0.292903
0.0096599,0.30885
0.00968257,0.324717
0.00970525,0.340497
0.00972793,0.356188
0.0097506,0.371785
0.00977328,0.387282
0.00979595,0.402676
0.00981863,0.417963
0.00984131,0.433137
0.00986398,0.448194
0.00988666,0.463131
0.00990933,0.477942
0.00993201,0.492624
0.00995468,0.507172
0.00997736,0.521582
0.01,0.535849
0.0100227,0.54997
0.0100454,0.56394
0.0100681,0.577756
0.0100907,0.591412
0.0101134,0.604906
0.0101361,0.618232
0.0101588,0.631388
0.0101814,0.644369
0.0102041,0.657171
0.0102268,0.669791
0.0102495,0.682224
0.0102721,0.694467
0.0102948,0.706517
0.0103175,0.718369
0.0103402,0.73002
0.0103628,0.741467
0.0103855,0.752705
0.0104082,0.763733
0.0104309,0.774545
0.0104536,0.785139
0.0104762,0.795512
0.0104989,0.805661
0.0105216,0.815581
0.0105443,0.825271
0.0105669,0.834727
0.0105896,0.843946
0.0106123,0.852925
0.010635,0.861662
0.0106576,0.870154
0.0106803,0.878397
0.010703,0.88639
0.0107257,0.894129
0.0107483,0.901613
0.010771,0.908838
0.0107937,0.915803
0.0108164,0.922505
0.010839,0.928943
0.0108617,0.935113
0.0108844,0.941014
0.0109071,0.946643
0.0109297,0.951999
0.0109524,0.957081
0.0109751,0.961886
0.0109978,0.966412
0.0110204,0.970658
0.0110431,0.974623
0.0110658,0.978304
0.0110885,0.981702
0.0111112,0.984813
0.0111338,0.987638
0.0111565,0.990175
0.0111792,0.992422
0.0112019,0.99438
0.0112245,0.996047
0.0112472,0.997423
0.0112699,0.998505
0.0112926,0.999296
0.0113152,0.999792
0.0113379,0.999995
0.0113606,0.999903
0.0113833,0.999517
0.0114059,0.998836
0.0114286,0.99786
0.0114513,0.99659
0.011474,0.995024
0.0114966,0.993164
0.0115193,0.99101
0.011542,0.988562
0.0115647,0.98582
0.0115873,0.982785
0.01161,0.979457
0.0116327,0.975838
0.0116554,0.971928
0.011678,0.967727
0.0117007,0.963238
0.0117234,0.95846
0.0117461,0.953396
0.0117688,0.948045
0.0117914,0.94241
0.0118141,0.936493
0.0118368,0.930293
0.0118595,0.923813
0.0118821,0.917055
0.0119048,0.910021
0.0119275,0.902712
0.0119502,0.895129
0.0119728,0.887276
0.0119955,0.879155
0.0120182,0.870766
0.0120409,0.862113
0.0120635,0.853198
0.0120862,0.844024
0.0121089,0.834592
0.0121316,0.824906
0.0121542,0.814968
0.0121769,0.804781
0.0121996,0.794348
0.0122223,0.783671
0.0122449,0.772754
0.0122676,0.7616
0.0122903,0.750212
0.012313,0.738592
0.0123356,0.726745
0.0123583,0.714673
0.012381,0.702381
0.0124037,0.689871
0.0124264,0.677148
0.012449,0.664214
0.0124717,0.651074
0.0124944,0.637732
0.0125171,0.62419
0.0125397,0.610454
0.0125624,0.596528
0.0125851,0.582414
0.0126078,0.568118
0.0126304,0.553644
0.0126531,0.538995
0.0126758,0.524177
0.0126985,0.509193
0.0127211,0.494048
0.0127438,0.478747
0.0127665,0.463294
0.0127892,0.447693
0.0128118,0.431949
0.0128345,0.416068
0.0128572,0.400053
0.0128799,0.38391
0.0129025,0.367643
0.0129252,0.351257
0.0129479,0.334758
0.0129706,0.318149
0.0129932,0.301437
0.0130159,0.284627
0.0130386,0.267723
0.0130613,0.25073
0.013084,0.233654
0.0131066,0.2165
0.0131293,0.199273
0.013152,0.181979
0.0131747,0.164622
0.0131973,0.147209
0.01322,0.129744
0.0132427,0.112233
0.0132654,0.094681
0.013288,0.0770939
0.0133107,0.0594769
0.0133334,0.0418356
0.0133561,0.0241754
0.0133787,0.00650185
0.0134014,-0.0111795
0.0134241,-0.0288633
0.0134468,-0.0465437
0.0134694,-0.0642155
0.0134921,-0.0818729
0.0135148,-0.0995104
0.0135375,-0.117122
0.0135601,-0.134704
0.0135828,-0.152247
0.0136055,-0.169751
0.0136282,-0.187205
0.0136508,-0.204606
0.0136735,-0.221949
0.0136962,-0.239227
0.0137189,-0.256436
